QueryNumber,F1
1,0.38095238095238093
2,0.0
3,0.37735849056603776
4,0.5
5,0.6834170854271356
6,0.07999999999999999
7,0.13333333333333333
8,0.16666666666666669
9,0.33333333333333337
10,0.33333333333333337
11,0.8108108108108109
12,0.4444444444444445
13,0.4
14,0.33333333333333337
15,0.1592920353982301
16,0.125
17,0.3076923076923077
18,0.0909090909090909
19,0.5806451612903226
20,0.6060606060606061
21,0.07692307692307693
22,0.271604938271605
23,0.0
24,0.3243243243243243
25,0.43076923076923085
26,0.7058823529411764
27,0.3076923076923077
28,0.3278688524590164
29,0.16666666666666669
30,0.5217391304347826
31,0.21538461538461542
32,0.23529411764705882
33,0.34782608695652173
34,0.18604651162790695
35,0.6
36,0.7142857142857143
37,0.3103448275862069
38,0.5070422535211268
39,0.46445497630331756
40,0.10389610389610389
41,0.6956521739130436
42,0.08163265306122448
43,0.1851851851851852
44,0.15789473684210528
45,0.4
46,0.56
47,0.2857142857142857
48,0.6666666666666666
49,0.4
50,0.07692307692307693
51,0.008264462809917356
52,0.0
53,0.5161290322580645
54,0.5411764705882353
55,0.0
56,0.17142857142857143
57,0.47761194029850745
58,0.5606060606060607
59,0.5499999999999999
60,0.21052631578947367
61,0.42696629213483145
62,0.6086956521739131
63,0.05
64,0.2758620689655173
65,0.6944444444444444
66,0.5681818181818182
67,0.782608695652174
68,0.5245901639344263
69,0.125
70,0.5833333333333334
71,0.8
72,0.47058823529411764
73,0.6153846153846153
74,0.4444444444444445
75,0.6
76,0.21052631578947367
77,0.07058823529411765
78,0.07500000000000001
79,0.43636363636363634
80,0.21052631578947367
81,0.30303030303030304
82,0.45000000000000007
83,0.2702702702702703
84,0.7692307692307693
85,0.12121212121212122
86,0.4067796610169491
87,0.4166666666666667
88,0.35294117647058826
89,0.3
90,0.7555555555555554
91,0.17964071856287428
92,0.56
94,0.37735849056603776
95,0.19999999999999998
96,0.2857142857142857
97,0.625
98,0.125
99,0.0
100,0.5333333333333333
