QueryNumber,Precision@10
1,0.4
2,0.0
3,0.2
4,0.0
5,0.7
6,0.1
7,0.1
8,0.1
9,0.1
10,0.1
11,0.6
12,0.1
13,0.0
14,0.5
15,0.2
16,0.8
17,0.2
18,0.1
19,0.3
20,0.6
21,0.1
22,0.7
23,0.0
24,0.0
25,0.5
26,0.3
27,0.1
28,0.3
29,0.0
30,0.0
31,0.4
32,0.1
33,0.4
34,0.4
35,0.0
36,0.0
37,0.9
38,0.1
39,0.8
40,0.4
41,0.1
42,0.1
43,0.3
44,0.7
45,0.0
46,0.1
47,0.2
48,0.4
49,0.6
50,0.1
51,0.1
52,0.0
53,0.3
54,0.4
55,0.0
56,0.1
57,0.5
58,0.5
59,0.3
60,0.1
61,0.2
62,0.5
63,0.1
64,0.2
65,0.4
66,0.1
67,0.4
68,0.2
69,0.0
70,0.0
71,0.1
72,0.2
73,0.1
74,0.2
75,0.4
76,0.1
77,0.3
78,0.3
79,0.3
80,0.4
81,0.1
82,0.1
83,0.1
84,0.4
85,0.0
86,0.5
87,0.2
88,0.1
89,0.3
90,0.6
91,0.6
92,0.4
94,0.6
95,0.0
96,0.0
97,0.2
98,0.1
99,0.0
100,0.0
