QueryNumber,F1
1,0.4186046511627907
2,0.0
3,0.49122807017543857
4,0.6153846153846153
5,0.7342995169082125
6,0.07999999999999999
7,0.35294117647058826
8,0.16666666666666669
9,0.5714285714285715
10,0.2758620689655173
11,0.8108108108108109
12,0.6
13,0.5
14,0.4057971014492754
15,0.23728813559322035
16,0.13471502590673573
17,0.45070422535211263
18,0.17391304347826084
19,0.6666666666666666
20,0.6857142857142856
21,0.43750000000000006
22,0.40909090909090906
23,0.25
24,0.45000000000000007
25,0.45454545454545453
26,0.7547169811320755
27,0.3076923076923077
28,0.3548387096774193
29,0.37037037037037035
30,0.6399999999999999
31,0.4109589041095891
32,0.23529411764705882
33,0.6265060240963854
34,0.2666666666666667
35,0.6666666666666666
36,0.7142857142857143
37,0.43199999999999994
38,0.641025641025641
39,0.5535714285714286
40,0.24096385542168672
41,0.7499999999999999
42,0.1923076923076923
43,0.2654867256637168
44,0.32335329341317365
45,0.4615384615384615
46,0.7142857142857143
47,0.37837837837837834
48,0.8
49,0.46808510638297873
50,0.2758620689655173
51,0.0326530612244898
52,0.0
53,0.5625
54,0.5909090909090909
55,0.0
56,0.17142857142857143
57,0.5833333333333334
58,0.6428571428571429
59,0.5990338164251208
60,0.21052631578947367
61,0.4444444444444445
62,0.6728110599078341
63,0.05
64,0.41269841269841273
65,0.7549668874172186
66,0.7010309278350516
67,0.782608695652174
68,0.732394366197183
69,0.33333333333333337
70,0.5833333333333334
71,0.8
72,0.47058823529411764
73,0.5
74,0.6
75,0.6451612903225806
76,0.3
77,0.2553191489361702
78,0.14457831325301204
79,0.5172413793103449
80,0.1621621621621622
81,0.4444444444444445
82,0.4878048780487805
83,0.358974358974359
84,0.72
85,0.45000000000000007
86,0.3793103448275862
87,0.4166666666666667
88,0.4444444444444445
89,0.21052631578947367
90,0.8085106382978724
91,0.2117647058823529
92,0.5974025974025974
94,0.46428571428571425
95,0.0
96,0.2857142857142857
97,0.625
98,0.125
99,0.5714285714285715
100,0.5333333333333333
