QueryNumber,Stemmer/Nostemmer
1,0.0
2,0.0
3,-0.046511627906976744
4,0.0
5,0.030534351145038163
6,-0.01260504201680672
7,-0.07142857142857142
8,0.0
9,0.0
10,0.0
11,-0.09090909090909088
12,0.0
13,0.08333333333333333
14,-0.007359307359307399
15,0.025581395348837244
16,-0.08683473389355745
17,0.0
18,0.05
19,0.0
20,0.021739130434782594
21,0.07999999999999999
22,-0.005714285714285727
23,0.02857142857142857
24,0.0
25,-0.005490196078431375
26,-0.09090909090909091
27,0.09090909090909091
28,0.0025252525252525415
29,0.09343434343434345
30,0.0
31,0.05340622371740958
32,0.0
33,0.0016319869441044355
34,0.14285714285714285
35,0.0
36,0.0
37,-0.19027484143763218
38,0.1509433962264151
39,0.06790123456790126
40,0.04945054945054944
41,0.0
42,0.043882978723404256
43,0.04545454545454547
44,0.17500000000000004
45,0.05
46,0.1111111111111111
47,-0.033333333333333326
48,0.09999999999999998
49,0.027777777777777762
50,0.10444444444444445
51,0.15
52,0.0
53,0.0
54,-0.04838709677419353
55,0.0
56,0.0
57,0.03921568627450983
58,-0.02105263157894738
59,0.006896551724137945
60,-0.05882352941176471
61,-0.012153518123667384
62,0.027777777777777762
63,-0.014906832298136646
64,-0.14
65,-0.03191489361702127
66,0.047619047619047616
67,0.0
68,0.022222222222222213
69,0.0
70,0.058823529411764705
71,0.0
72,0.0
73,-0.05555555555555555
74,0.0
75,0.0
76,0.0
77,-0.00848356309650053
78,0.3
79,0.06976744186046512
80,-0.14935064935064937
81,0.03571428571428571
82,0.06451612903225808
83,0.055023923444976086
84,0.0
85,0.03225806451612903
86,-0.0357142857142857
87,0.02631578947368421
88,0.0
89,-0.09999999999999998
90,-0.17857142857142855
91,0.029953917050691226
92,0.05555555555555555
94,-0.19166666666666665
95,0.0
96,-0.08333333333333333
97,-0.09090909090909088
98,-0.010256410256410262
99,0.0
100,0.0
